timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gravity_x,gravity_y,gravity_z,activity
0.0,-0.10592084,0.96869373,-0.06589546,-0.21624629,0.04314236,-0.089491755,0.3093354,9.722467,1.2441353,standing
0.02,-0.007321717,0.9984687,0.14057697,-0.3023783,-0.19570595,0.024129177,0.29295594,9.721696,1.2541586,standing
0.03,0.019036464,1.0096953,0.20940112,-0.19303341,-0.26106852,0.036957346,0.28897244,9.715893,1.2992455,standing
0.05,0.037584815,1.0304402,0.2042759,-0.0421497,-0.17493653,0.030848695,0.29169863,9.713684,1.3150522,standing
0.06,0.061746486,1.0179932,0.18304294,0.017715093,-0.11140655,0.018020526,0.298074,9.712286,1.3238947,standing
0.08,0.08005078,1.012868,0.1342315,0.057421334,0.000992656,-0.051618114,0.30031654,9.71253,1.3216757,standing
0.09,0.06955632,0.99407566,0.088836834,0.012217305,-0.030772336,-0.07971791,0.29359016,9.714104,1.3115312,standing
0.11,0.060770255,0.98626584,0.08127106,-0.053145275,-0.11629347,-0.07849618,0.286447,9.7145,1.3101001,standing
0.12,0.04637088,0.9689378,0.099819414,-0.13683382,-0.22869268,-0.04062254,0.28091598,9.714097,1.3142676,standing
0.14,0.025870068,0.9640566,0.11373068,-0.1740966,-0.23663393,0.06505715,0.28358868,9.709657,1.3461878,standing
0.15,0.033923957,0.9640566,0.11348662,-0.19058995,-0.24824037,0.11453723,0.28358868,9.709657,1.3461878,standing
0.17,0.07614586,0.9745511,0.1210524,-0.2443461,-0.2457969,0.20066923,0.30939445,9.704565,1.3768764,standing
0.19,0.06272271,0.9808966,0.18060236,-0.25778514,-0.20242546,0.19517145,0.37732407,9.693183,1.4386747,standing
0.2,0.06613952,0.9879743,0.19915071,-0.1863139,-0.068645984,0.12980886,0.37732407,9.693183,1.4386747,standing
0.22,0.07687803,0.995296,0.20598431,-0.11728613,0.05841399,0.05222898,0.39581427,9.6894455,1.4588217,standing
0.23,0.031483386,0.99798054,0.20134723,-0.00061086525,0.27282768,-0.09560041,0.4107941,9.68492,1.4844801,standing
0.25,-0.020012695,0.9901707,0.15595257,0.09040806,0.31436652,-0.14996742,0.39046618,9.684759,1.4909772,standing
0.26,-0.04612682,0.9874862,0.106164895,0.0983493,0.23189972,-0.13591751,0.37249067,9.686072,1.4870996,standing
0.28,-0.051740136,0.98358124,0.08639627,0.07269296,0.1512655,-0.112704635,0.33400312,9.689927,1.4710157,standing
0.29,-0.045394648,0.9794322,0.079562664,0.004886922,-0.003894266,-0.048563786,0.31670246,9.691797,1.4624729,standing
0.31,-0.024893839,0.9806526,0.06418706,-0.042760566,-0.06681339,-0.029626964,0.29015958,9.694468,1.4502921,standing
0.33,-0.023673553,0.9799203,0.06760386,-0.09285152,-0.13828462,-0.009468411,0.28278905,9.694997,1.4481761,standing
0.34,-0.0046370877,0.9855337,0.07980672,-0.17470746,-0.29772046,0.025961773,0.2758388,9.694169,1.4549702,standing
0.36,0.019768637,0.99139106,0.11324256,-0.23945917,-0.42050436,0.042455133,0.28095892,9.690791,1.4763778,standing
