timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gravity_x,gravity_y,gravity_z,activity
0.0,0.37365165,0.6087093,0.7766207,0.2003638,-0.32398766,-0.013133603,3.0045407,5.87532,7.2542205,waving
0.02,0.3829258,0.60968554,0.7683227,0.18509217,-0.14439327,0.027183503,3.028623,5.8911204,7.231349,waving
0.03,0.358032,0.6348234,0.6748488,-0.23457226,-0.115071744,0.21533,3.0505433,5.905545,7.2103415,waving
0.05,0.37316352,0.62725765,0.67167604,-0.45570546,-0.096134916,0.31306845,3.094428,5.8590217,7.2295732,waving
0.06,0.36315718,0.6231087,0.6226205,-0.8197812,-0.31177035,0.5006041,3.094428,5.8590217,7.2295732,waving
0.08,0.39195594,0.641657,0.6235968,-0.9786061,-0.48769954,0.5384777,3.1767204,5.7404017,7.2887974,waving
0.09,0.6043163,0.7273211,0.46029195,-1.2492194,-1.0057132,0.3032946,3.3124204,5.571457,7.359145,waving
0.11,0.6465382,0.74367297,0.49299565,-1.3909402,-1.297096,0.04428773,3.3978715,5.477162,7.3909063,waving
0.12,0.6465382,0.74367297,0.49299565,-1.3909402,-1.297096,0.04428773,3.3978715,5.477162,7.3909063,waving
0.15,0.6467822,0.7253686,0.6079771,-1.1612549,-1.6935475,-1.2104294,3.7927415,5.1339746,7.4449787,waving
0.16,0.684123,0.7180469,0.485918,-1.1588113,-1.8383226,-1.6184875,3.9245934,5.059025,7.4279294,waving
0.18,0.726833,0.71072525,0.469078,-1.2669345,-1.9568305,-1.779145,3.9804606,5.037824,7.412598,waving
0.19,0.8286049,0.66044945,0.4566311,-1.6835446,-2.580524,-2.5017986,4.097133,4.9938045,7.3787327,waving
0.21,0.9030423,0.6482466,0.4595598,-1.8961257,-3.3355534,-3.361286,4.228636,4.9573455,7.3289638,waving
0.22,1.004326,0.6314066,0.5391529,-1.8979583,-4.0734787,-3.9379427,4.299344,4.956331,7.2883935,waving
0.24,1.004326,0.6314066,0.5391529,-1.8979583,-4.0734787,-3.9379427,4.299344,4.956331,7.2883935,waving
0.26,0.94502014,0.44662476,0.7688108,-1.3548992,-5.0844607,-5.3233852,4.587324,5.139621,6.979328,waving
0.27,0.935502,0.3968371,0.66118157,-1.3414601,-5.6238546,-5.871331,4.715494,5.4591393,6.6432076,waving
0.29,0.9984687,0.34607318,0.7060881,-1.4373659,-5.8284945,-6.212805,4.7564406,5.6472297,6.454088,waving
0.3,1.0458158,0.23405088,1.0790076,-1.4611896,-5.4576993,-6.525568,4.7504725,6.060652,6.072219,waving
0.32,0.9530741,0.16986385,1.182732,-1.210735,-5.2206836,-6.424775,4.573072,6.503008,5.741783,waving
0.33,0.80810404,0.23429495,1.1859046,-0.66156703,-4.6861763,-6.130949,4.4394064,6.732468,5.5799403,waving
0.35,0.8005383,0.24332508,1.0956035,-0.5015204,-4.5212426,-6.0045,4.094806,7.1859226,5.269277,waving
0.36,0.786627,0.29994637,1.033857,-0.41538838,-4.198095,-5.880494,3.8913167,7.4004235,5.12461,waving
0.38,0.74538136,0.29774985,0.9982247,-0.45265114,-3.835241,-5.7583213,3.662694,7.601511,4.997203,waving
